PID,Ostandard_uda_l_time,Ostandard_uda_l_eou,Ostandard_uda_c_time,Ostandard_uda_c_eou,Ostandard_view_time,Ostandard_view_eou,Onavi_view_time,Onavi_view_eou,Oassist_uda_r_time,Oassist_uda_r_eou,Oassist_uda_l_time,Oassist_uda_l_eou,Oassist_view_time,Oassist_view_eou,Osmart_uda_l_time,Osmart_uda_l_eou,Estandard_uda_l_time,Estandard_uda_l_eou,Estandard_view_time,Estandard_view_eou,Enavi_view_time,Enavi_view_eou,Esmart_uda_l_time,Esmart_uda_l_eou,Eminimal_uda_l_time,Eminimal_uda_l_eou,Preference
1,14,2,48,1,2,5,5,4,40,2,2,5,6,5,6,5,7,4,15,4,8,4,2,5,10,5,Type-0
2,3,5,37,2,5,5,2,5,2,5,4,5,5,5,4,5,16,3,,2,7,4,3,5,9,5,Type-0
3,8,4,,4,20,4,4,5,4,5,7,5,4,4,60,5,5,5,31,5,17,4,1,5,7,5,Type-0
4,,5,,3,,2,,5,,4,,5,,5,,5,3,5,3,5,18,5,9,2,9,4,Type-0
5,6,5,6,4,5,5,1,5,20,3,20,4,4,5,5,5,2,5,3,5,4,5,8,5,1,5,Type-E
6,4,5,5,4,6,5,2,5,11,5,6,5,5,5,4,5,6,4,22,2,8,3,11,4,9,3,Type-0
7,3,4,3,3,4,3,6,2,3,5,5,3,4,3,3,5,7,3,5,2,11,2,3,5,6,4,Type-0
8,9,3,15,4,6,2,2,5,5,3,14,2,6,4,5,4,40,2,7,4,11,3,1,5,2,4,Type-E
9,6,1,8,2,12,2,2,1,13,1,4,5,10,3,6,4,10,2,5,3,9,3,11,5,1,5,Type-E
10,40,2,20,2,,5,,5,,5,,5,,5,,5,,5,,5,,5,,4,,5,Type-0
11,7,4,59,2,3,5,3,5,5,5,6,5,4,5,2,5,5,5,16,5,4,5,1,5,1,5,Type-E
12,5,3,15,4,4,4,2,4,16,3,10,4,21,3,6,4,15,3,15,3,12,3,4,4,4,4,Type-E
13,9,1,,,2,5,2,5,,,,,6,5,,3,21,1,6,3,4,4,2,5,,1,Type-E
14,4,5,7,2,5,5,3,5,23,2,9,5,5,5,4,5,5,5,4,5,3,5,10,5,3,5,Type-E
15,16,2,,,5,4,4,4,10,3,10,4,5,4,12,3,7,3,5,4,7,4,2,5,3,5,Type-E
16,5,4,22,3,8,4,3,5,10,4,6,5,14,3,6,4,5,4,6,4,9,4,1,5,23,2,Type-0
17,2,3,15,1,10,3,1,4,10,5,6,3,4,4,4,4,3,4,4,4,7,3,1,5,2,5,Type-E
18,1,5,12,3,6,5,1,5,6,5,3,5,7,5,3,5,6,3,5,5,6,4,2,5,5,5,Type-0
19,22,5,9,3,3,5,2,5,8,3,2,5,4,5,18,5,22,3,5,5,6,5,1,5,7,5,Type-0
,,,,,,,,,,,,,,,,,,,,,,,,,,,Type-E
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,`,,,,,,,,,,,,,,,,,,,,,,,,